property_name	street_address	city	state	zip_code	unit_count
Pinnacle Highland	7673 S Highland Drive	Salt Lake City	UT	84121	522
San Marino Luxury Apartment Homes	776 W Grande Rose Way	South Jordan	UT	84095	320
Green Leaf Villas	7940 Main Street	Midvale	UT	84047	126
	80 W Center Street	Beaver	UT	84713	
	8145 Country West Drive	Magna	UT	84044	
	820 Monroe	Ogden	UT	84404	84
	833 E 270 N	Salem	UT	84653	
	836 W 4050 S	Bountiful	UT	84010	
	840 E 2nd Street	Ogden	UT	84404	
Riverbend Apartments	845 W 3900 S	Salt Lake City	UT	84123	
	8525 W Elk Mountain Road	Magna	UT	84044	172
	853 Spruce Street	Cedar City	UT	84720	
Cortland Ridge	855 N 820 W	Orem	UT	84057	144
	8612 S 1240 E	Sandy	UT	84094	28
	8636 S 1240 E	Sandy	UT	84094	28
The Village at Raintree	870 N 900 W	Salt Lake City	UT	84116	
	880 E Canyon Ridge Way	Midvale	UT	84047	
	880 S Main Street	Logan	UT	84123	
	898 S 110 W	Cedar City	UT	84720	
	899 Canyon Road	Logan	UT	84321	
River Oaks Apartments	9035 S 1075 W	West Jordan	UT	84088	180
The New Broadmoor	930 E 300 S	Salt Lake City	UT	84102	
	9300 S Redwood Road	West Jordan	UT	84088	
	952-954 W 400 S	Salt Lake City	UT	84104	
San Moritz Apartments	966 W Powder Hill Road	Midvale	UT	84047	390
	990-994 W Prosperity Avenue	Salt Lake City	UT	84116	
